path,class,rev,station,cam,season,day_part,date_time
rev12/35/35_20210928 (509).JPG,empty,rev12,35,35,autumn,evening,2021:09:28 13:27:29
rev11/2/2_20210818 (15038).JPG,empty,rev11,30,2,summer,evening,2021:08:18 12:21:13
rev18/47/47_20220406 (466).JPG,empty,rev18,7B,47,spring,evening,2022:04:06 19:24:20
rev20/25/25_20220620 (869).JPG,empty,rev20,25B,25,summer,evening,2022:06:20 13:37:56
rev20/20/20_20220711 (7731).JPG,empty,rev20,20,20,summer,evening,2022:07:11 12:06:34
rev10/25/25_20210716 (2319).JPG,empty,rev10,25B,25,summer,evening,2021:07:16 12:34:22
rev22/24/24_20221009 (559).JPG,empty,rev22,24,24,autumn,evening,2022:10:09 13:31:52
rev08/49/49_20210523 (12054).JPG,empty,rev08,6B,49,spring,evening,2021:05:23 13:04:51
rev11/2/2_20210816 (2612).JPG,empty,rev11,30,2,summer,evening,2021:08:16 13:21:19
rev06/36/36_20210324 (2389).JPG,empty,rev06,36,36,spring,evening,2021:03:24 15:07:57
rev10/32/32_20210713 (1789).JPG,empty,rev10,32,32,summer,morning,2021:07:13 11:05:39
rev12/39/39_20210927 (894).JPG,empty,rev12,39B,39,autumn,evening,2021:09:27 12:51:20
rev08/2/2_20210517 (16988).JPG,empty,rev08,30,2,spring,morning,2021:05:17 11:39:58
rev12/9/9_20210920 (998).JPG,empty,rev12,9,9,autumn,morning,2021:09:20 07:15:43
rev20/22/22_20220627 (3291).JPG,empty,rev20,22B,22,summer,evening,2022:06:27 13:54:16
rev17/24/24_20220227 (995).JPG,empty,rev17,24,24,winter,evening,2022:02:27 13:13:10
rev12/41/41_20210915 (53).JPG,empty,rev12,41B,41,autumn,evening,2021:09:15 14:02:45
rev08/49/49_20210522 (8157).JPG,empty,rev08,6B,49,spring,evening,2021:05:22 14:02:15
rev20/28/28_20220626 (1990).JPG,empty,rev20,28,28,summer,evening,2022:06:26 13:06:36
rev18/24/24_20220420 (3818).JPG,empty,rev18,24,24,spring,evening,2022:04:20 12:26:44
rev14/39/39_20211123 (459).JPG,empty,rev14,39B,39,autumn,evening,2021:11:23 12:44:46
rev20/16/16_20220625 (622).JPG,empty,rev20,16B,16,summer,evening,2022:06:25 15:15:35
rev04/34/34_20210125 (2938).JPG,empty,rev04,34,34,winter,evening,2021:01:25 20:02:38
rev12/24/24_20210929 (10711).JPG,empty,rev12,24,24,autumn,evening,2021:09:29 12:35:51
rev21/1/1_20220827 (1579).JPG,empty,rev21,23B,1,summer,evening,2022:08:27 15:01:22
rev06/19/19_20210401 (1189).JPG,empty,rev06,19B,19,spring,evening,2021:04:01 14:51:39
rev08/39/39_20210528 (5819).JPG,empty,rev08,39B,39,spring,evening,2021:05:28 12:56:40
rev10/49/49_20210714 (547).JPG,empty,rev10,6B,49,summer,evening,2021:07:14 12:40:17
rev12/50/50_20210928 (5523).JPG,empty,rev12,34,50,autumn,morning,2021:09:28 11:28:10
rev14/4/4_20211217 (12798).JPG,empty,rev14,26B,4,winter,morning,2021:12:17 10:59:03
rev07/25/25_20210430 (8903).JPG,empty,rev07,25B,25,spring,evening,2021:04:30 15:10:48
rev07/50/50_20210428 (24674).JPG,empty,rev07,34,50,spring,evening,2021:04:28 14:40:34
rev08/49/49_20210523 (10738).JPG,empty,rev08,6B,49,spring,evening,2021:05:23 12:37:53
rev08/49/49_20210518 (2585).JPG,empty,rev08,6B,49,spring,evening,2021:05:18 12:10:53
rev13/32/32_20211115 (5220).JPG,empty,rev13,32,32,autumn,evening,2021:11:15 13:29:09
rev21/51/51_20220822 (14184).JPG,empty,rev21,6B,51,summer,evening,2022:08:22 16:26:03
rev08/24/24_20210517 (5770).JPG,empty,rev08,24,24,spring,evening,2021:05:17 12:39:35
rev21/11/11_20220817 (3596).JPG,empty,rev21,11,11,summer,evening,2022:08:17 13:38:43
rev21/77/77_20220817 (672).JPG,empty,rev21,59,77,summer,evening,2022:08:17 12:44:59
rev08/2/2_20210517 (17035).JPG,empty,rev08,30,2,spring,morning,2021:05:17 11:44:17
rev08/24/24_20210518 (8439).JPG,empty,rev08,24,24,spring,morning,2021:05:18 11:57:10
rev20/39/39_20220627 (10951).JPG,empty,rev20,39B,39,summer,evening,2022:06:27 14:06:29
rev12/50/50_20211002 (7158).JPG,empty,rev12,34,50,autumn,evening,2021:10:02 12:45:35
rev10/22/22_20210810 (23359).JPG,empty,rev10,22B,22,summer,evening,2021:08:10 12:09:57
rev14/1/1_20211202 (846).JPG,empty,rev14,23B,1,winter,evening,2021:12:02 12:51:34
rev20/5/5_20220627 (1821).JPG,empty,rev20,29,5,summer,evening,2022:06:27 14:48:40
rev20/50/50_20220705 (26011).JPG,empty,rev20,34,50,summer,morning,2022:07:05 11:05:49
rev11/20/20_20210823 (8912).JPG,empty,rev11,20,20,summer,evening,2021:08:23 14:16:59
rev21/2/2_20220723 (252).JPG,empty,rev21,30,2,summer,evening,2022:07:23 18:37:47
rev08/3/3_20210525 (513).JPG,empty,rev08,27,3,spring,evening,2021:05:25 16:39:11
rev20/20/20_20220628 (4955).JPG,empty,rev20,20,20,summer,evening,2022:06:28 16:00:37
rev14/4/4_20211216 (10650).JPG,empty,rev14,26B,4,winter,evening,2021:12:16 15:05:04
rev09/24/24_20210619 (15157).JPG,empty,rev09,24,24,summer,morning,2021:06:19 11:47:41
rev08/49/49_20210521 (6969).JPG,empty,rev08,6B,49,spring,evening,2021:05:21 15:14:16
rev21/24/24_20220806 (3428).JPG,empty,rev21,24,24,summer,morning,2022:08:06 11:37:38
rev03/28/28_20201226 (13364).JPG,empty,rev03,28,28,winter,evening,2020:12:26 15:53:18
rev21/4/4_20220707 (26584).JPG,empty,rev21,26B,4,summer,evening,2022:07:07 14:14:12
rev06/28/28_20210320 (8048).JPG,empty,rev06,28,28,spring,evening,2021:03:20 12:49:58
rev19/47/47_20220527 (1128).JPG,empty,rev19,7B,47,spring,evening,2022:05:27 14:28:03
rev12/36/36_20211007 (9778).JPG,empty,rev12,36,36,autumn,morning,2021:10:07 11:30:08
rev20/5/5_20220702 (2686).JPG,empty,rev20,29,5,summer,evening,2022:07:02 13:15:44
rev07/49/49_20210502 (11823).JPG,empty,rev07,6B,49,spring,evening,2021:05:02 14:59:03
rev10/2/2_20210713 (3484).JPG,empty,rev10,30,2,summer,evening,2021:07:13 12:50:00
rev08/19/19_20210613 (5048).JPG,empty,rev08,19B,19,summer,evening,2021:06:13 15:23:26
rev08/11/11_20210608 (6542).JPG,empty,rev08,11,11,summer,evening,2021:06:08 15:17:24
rev08/31/31_20210614 (4432).JPG,empty,rev08,31B,31,summer,evening,2021:06:14 12:11:40
rev11/49/49_20210816 (7823).JPG,empty,rev11,6B,49,summer,evening,2021:08:16 16:14:56
rev06/28/28_20210320 (13280).JPG,empty,rev06,28,28,spring,evening,2021:03:20 17:02:31
rev12/32/32_20211004 (10124).JPG,empty,rev12,32,32,autumn,evening,2021:10:04 12:33:00
rev21/16/16_20220812 (464).JPG,empty,rev21,16B,16,summer,evening,2022:08:12 19:27:59
rev01/26/26_20201111 (12731).JPG,empty,rev01,26,26,autumn,morning,2020:11:11 07:28:56
rev02/15/15_20201205 (7311).JPG,empty,rev02,15,15,winter,morning,2020:12:05 11:55:15
rev11/49/49_20210816 (563).JPG,empty,rev11,6B,49,summer,morning,2021:08:16 11:36:32
rev13/49/49_20211106 (1589).JPG,empty,rev13,6B,49,autumn,morning,2021:11:06 11:39:53
rev18/32/32_20220426 (12049).JPG,empty,rev18,32,32,spring,evening,2022:04:26 16:32:18
rev08/24/24_20210519 (12584).JPG,empty,rev08,24,24,spring,morning,2021:05:19 10:16:06
rev19/10/10_20220603 (20322).JPG,empty,rev19,10B,10,summer,night,2022:06:03 21:07:08
rev20/19/19_20220622 (2010).JPG,empty,rev20,19B,19,summer,evening,2022:06:22 12:37:01
rev10/31/31_20210806 (7675).JPG,empty,rev10,31B,31,summer,evening,2021:08:06 12:27:21
rev20/71/71_20220705 (5653).JPG,empty,rev20,47,71,summer,morning,2022:07:05 09:42:41
rev19/24/24_20220523 (1263).JPG,empty,rev19,24,24,spring,evening,2022:05:23 13:29:17
rev20/10/10_20220703 (6437).JPG,empty,rev20,10B,10,summer,evening,2022:07:03 12:10:53
rev20/71/71_20220627 (3341).JPG,empty,rev20,47,71,summer,evening,2022:06:27 14:33:24
rev10/11/11_20210727 (5358).JPG,empty,rev10,11,11,summer,evening,2021:07:27 15:34:20
rev07/11/11_20210501 (1944).JPG,empty,rev07,11,11,spring,evening,2021:05:01 12:12:56
rev09/2/2_20210620 (14155).JPG,empty,rev09,30,2,summer,morning,2021:06:20 10:04:03
rev20/20/20_20220619 (1446).JPG,empty,rev20,20,20,summer,evening,2022:06:19 12:22:10
rev04/7/7_20210211 (1145).JPG,empty,rev04,7,7,winter,night,2021:02:11 21:45:49
rev09/11/11_20210616 (30).JPG,empty,rev09,11,11,summer,morning,2021:06:16 10:34:53
rev10/24/24_20210718 (19438).JPG,empty,rev10,24,24,summer,morning,2021:07:18 10:47:03
rev24/65/65_20230224 (4115).JPG,empty,rev24,6B,65,winter,evening,2023:02:24 13:59:46
rev07/25/25_20210506 (17085).JPG,empty,rev07,25B,25,spring,evening,2021:05:06 13:36:11
rev10/49/49_20210724 (7332).JPG,empty,rev10,6B,49,summer,evening,2021:07:24 16:10:17
rev24/39/39_20230124 (2649).JPG,empty,rev24,39B,39,winter,morning,2023:01:24 11:52:08
rev20/19/19_20220625 (2806).JPG,empty,rev20,19B,19,summer,evening,2022:06:25 15:04:00
rev06/24/24_20210411 (13882).JPG,empty,rev06,24,24,spring,evening,2021:04:11 13:25:32
rev12/20/20_20210928 (1932).JPG,empty,rev12,20,20,autumn,evening,2021:09:28 13:38:50
rev23/70/70_20230109 (285).JPG,empty,rev23,67,70,winter,morning,2023:01:09 08:18:12
rev01/15/15_20201108 (16626).JPG,empty,rev01,15,15,autumn,morning,2020:11:08 11:54:06
rev22/74/74_20221119 (690).JPG,empty,rev22,61,74,autumn,night,2022:11:19 23:29:00
rev08/2/2_20210517 (19841).JPG,empty,rev08,30,2,spring,evening,2021:05:17 14:40:01
rev22/32/32_20220929 (3523).JPG,empty,rev22,32,32,autumn,evening,2022:09:29 16:00:08
rev21/3/3_20220811 (1649).JPG,empty,rev21,27,3,summer,evening,2022:08:11 13:59:26
rev17/20/20_20220330 (1061).JPG,empty,rev17,20,20,spring,evening,2022:03:30 12:54:50
rev20/39/39_20220705 (12739).JPG,empty,rev20,39B,39,summer,morning,2022:07:05 10:58:30
rev18/25/25_20220402 (261).JPG,empty,rev18,25B,25,spring,morning,2022:04:02 10:18:23
rev19/51/51_20220518 (7812).JPG,empty,rev19,6B,51,spring,evening,2022:05:18 15:12:30
rev10/2/2_20210713 (6348).JPG,empty,rev10,30,2,summer,evening,2021:07:13 14:08:16
rev11/10/10_20210905 (30525).JPG,empty,rev11,10B,10,autumn,morning,2021:09:05 10:46:53
rev21/67/67_20220723 (171).JPG,empty,rev21,46,67,summer,night,2022:07:23 04:57:07
rev11/49/49_20210816 (400).JPG,empty,rev11,6B,49,summer,morning,2021:08:16 11:27:29
